"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 29 23:36:51 CST 2026","Wed Apr 29 23:36:51 CST 2026","14","testcases","test_pet","","","","test_add_pet_parametrized[case0]",""
"passed","Wed Apr 29 23:36:37 CST 2026","Wed Apr 29 23:36:39 CST 2026","2034","","","","","","test_delete_pet_then_get_404",""
"passed","Wed Apr 29 23:36:51 CST 2026","Wed Apr 29 23:36:51 CST 2026","25","testcases","test_pet","","","","test_delete_pet_then_get_404",""
"passed","Wed Apr 29 23:36:51 CST 2026","Wed Apr 29 23:36:51 CST 2026","31","testcases","test_pet","","","","test_add_new_pet",""
"passed","Wed Apr 29 23:36:51 CST 2026","Wed Apr 29 23:36:51 CST 2026","58","testcases","test_pet","","","","test_update_pet[case0]",""
"passed","Wed Apr 29 23:36:51 CST 2026","Wed Apr 29 23:36:51 CST 2026","13","testcases","test_pet","","","","test_delete_nonexistent_pet",""
"passed","Wed Apr 29 23:36:51 CST 2026","Wed Apr 29 23:36:51 CST 2026","29","testcases","test_pet","","","","通过存在的ID查询宠物",""
"passed","Wed Apr 29 23:36:51 CST 2026","Wed Apr 29 23:36:51 CST 2026","26","testcases","test_pet","","","","test_add_pet_parametrized[case2]",""
"passed","Wed Apr 29 23:36:51 CST 2026","Wed Apr 29 23:36:51 CST 2026","13","testcases","test_pet","","","","test_add_pet_parametrized[case3]",""
"passed","Wed Apr 29 23:36:51 CST 2026","Wed Apr 29 23:36:51 CST 2026","28","testcases","test_pet","","","","test_add_pet_parametrized[case1]",""
